model,capas,nodos,learning rate,epochs,alpha,accuracy
1,4,"[15, 10, 5, 3]",0.01,200,1e-05,0.8482142857142857
2,4,"[15, 10, 5, 3]",0.01,200,0.01,0.9051339285714286
3,4,"[15, 10, 5, 3]",0.01,300,1e-05,0.8482142857142857
4,4,"[15, 10, 5, 3]",0.01,300,0.01,0.9051339285714286
5,4,"[15, 10, 5, 3]",0.01,400,1e-05,0.8482142857142857
6,4,"[15, 10, 5, 3]",0.01,400,0.01,0.9051339285714286
7,4,"[15, 10, 5, 3]",0.001,200,1e-05,0.86328125
8,4,"[15, 10, 5, 3]",0.001,200,0.01,0.9051339285714286
9,4,"[15, 10, 5, 3]",0.001,300,1e-05,0.8577008928571429
10,4,"[15, 10, 5, 3]",0.001,300,0.01,0.9006696428571429
11,4,"[15, 10, 5, 3]",0.001,400,1e-05,0.8649553571428571
12,4,"[15, 10, 5, 3]",0.001,400,0.01,0.9051339285714286
13,4,"[15, 10, 5, 3]",0.0001,200,1e-05,0.7834821428571429
14,4,"[15, 10, 5, 3]",0.0001,200,0.01,0.83203125
15,4,"[15, 10, 5, 3]",0.0001,300,1e-05,0.8392857142857143
16,4,"[15, 10, 5, 3]",0.0001,300,0.01,0.86328125
17,4,"[15, 10, 5, 3]",0.0001,400,1e-05,0.8565848214285714
18,4,"[15, 10, 5, 3]",0.0001,400,0.01,0.87109375
19,3,"[15, 30, 3]",0.01,200,1e-05,0.8895089285714286
20,3,"[15, 30, 3]",0.01,200,0.01,0.8861607142857143
21,3,"[15, 30, 3]",0.01,300,1e-05,0.8895089285714286
22,3,"[15, 30, 3]",0.01,300,0.01,0.8861607142857143
23,3,"[15, 30, 3]",0.01,400,1e-05,0.8895089285714286
24,3,"[15, 30, 3]",0.01,400,0.01,0.8861607142857143
25,3,"[15, 30, 3]",0.001,200,1e-05,0.8727678571428571
26,3,"[15, 30, 3]",0.001,200,0.01,0.8777901785714286
27,3,"[15, 30, 3]",0.001,300,1e-05,0.8727678571428571
28,3,"[15, 30, 3]",0.001,300,0.01,0.8777901785714286
29,3,"[15, 30, 3]",0.001,400,1e-05,0.8727678571428571
30,3,"[15, 30, 3]",0.001,400,0.01,0.8777901785714286
31,3,"[15, 30, 3]",0.0001,200,1e-05,0.8175223214285714
32,3,"[15, 30, 3]",0.0001,200,0.01,0.8582589285714286
33,3,"[15, 30, 3]",0.0001,300,1e-05,0.8331473214285714
34,3,"[15, 30, 3]",0.0001,300,0.01,0.86328125
35,3,"[15, 30, 3]",0.0001,400,1e-05,0.84375
36,3,"[15, 30, 3]",0.0001,400,0.01,0.8604910714285714
37,4,"[15, 100, 30, 3]",0.01,200,1e-05,0.8359375
38,4,"[15, 100, 30, 3]",0.01,200,0.01,0.8588169642857143
39,4,"[15, 100, 30, 3]",0.01,300,1e-05,0.8359375
40,4,"[15, 100, 30, 3]",0.01,300,0.01,0.8588169642857143
41,4,"[15, 100, 30, 3]",0.01,400,1e-05,0.8359375
42,4,"[15, 100, 30, 3]",0.01,400,0.01,0.8588169642857143
43,4,"[15, 100, 30, 3]",0.001,200,1e-05,0.8046875
44,4,"[15, 100, 30, 3]",0.001,200,0.01,0.8404017857142857
45,4,"[15, 100, 30, 3]",0.001,300,1e-05,0.8046875
46,4,"[15, 100, 30, 3]",0.001,300,0.01,0.8404017857142857
47,4,"[15, 100, 30, 3]",0.001,400,1e-05,0.8046875
48,4,"[15, 100, 30, 3]",0.001,400,0.01,0.8404017857142857
49,4,"[15, 100, 30, 3]",0.0001,200,1e-05,0.8247767857142857
50,4,"[15, 100, 30, 3]",0.0001,200,0.01,0.8359375
51,4,"[15, 100, 30, 3]",0.0001,300,1e-05,0.8147321428571429
52,4,"[15, 100, 30, 3]",0.0001,300,0.01,0.8158482142857143
53,4,"[15, 100, 30, 3]",0.0001,400,1e-05,0.81640625
54,4,"[15, 100, 30, 3]",0.0001,400,0.01,0.8186383928571429
55,4,"[15, 200, 100, 3]",0.01,200,1e-05,0.9006696428571429
56,4,"[15, 200, 100, 3]",0.01,200,0.01,0.8973214285714286
57,4,"[15, 200, 100, 3]",0.01,300,1e-05,0.9006696428571429
58,4,"[15, 200, 100, 3]",0.01,300,0.01,0.8973214285714286
59,4,"[15, 200, 100, 3]",0.01,400,1e-05,0.9006696428571429
60,4,"[15, 200, 100, 3]",0.01,400,0.01,0.8973214285714286
61,4,"[15, 200, 100, 3]",0.001,200,1e-05,0.8872767857142857
62,4,"[15, 200, 100, 3]",0.001,200,0.01,0.8828125
63,4,"[15, 200, 100, 3]",0.001,300,1e-05,0.8872767857142857
64,4,"[15, 200, 100, 3]",0.001,300,0.01,0.8828125
65,4,"[15, 200, 100, 3]",0.001,400,1e-05,0.8872767857142857
66,4,"[15, 200, 100, 3]",0.001,400,0.01,0.8828125
67,4,"[15, 200, 100, 3]",0.0001,200,1e-05,0.87109375
68,4,"[15, 200, 100, 3]",0.0001,200,0.01,0.8761160714285714
69,4,"[15, 200, 100, 3]",0.0001,300,1e-05,0.875
70,4,"[15, 200, 100, 3]",0.0001,300,0.01,0.8783482142857143
71,4,"[15, 200, 100, 3]",0.0001,400,1e-05,0.875
72,4,"[15, 200, 100, 3]",0.0001,400,0.01,0.8783482142857143
73,5,"[15, 80, 40, 10, 3]",0.01,200,1e-05,0.9157366071428571
74,5,"[15, 80, 40, 10, 3]",0.01,200,0.01,0.8655133928571429
75,5,"[15, 80, 40, 10, 3]",0.01,300,1e-05,0.9157366071428571
76,5,"[15, 80, 40, 10, 3]",0.01,300,0.01,0.8655133928571429
77,5,"[15, 80, 40, 10, 3]",0.01,400,1e-05,0.9157366071428571
78,5,"[15, 80, 40, 10, 3]",0.01,400,0.01,0.8655133928571429
79,5,"[15, 80, 40, 10, 3]",0.001,200,1e-05,0.88671875
80,5,"[15, 80, 40, 10, 3]",0.001,200,0.01,0.9040178571428571
81,5,"[15, 80, 40, 10, 3]",0.001,300,1e-05,0.88671875
82,5,"[15, 80, 40, 10, 3]",0.001,300,0.01,0.9040178571428571
83,5,"[15, 80, 40, 10, 3]",0.001,400,1e-05,0.88671875
84,5,"[15, 80, 40, 10, 3]",0.001,400,0.01,0.9040178571428571
85,5,"[15, 80, 40, 10, 3]",0.0001,200,1e-05,0.8828125
86,5,"[15, 80, 40, 10, 3]",0.0001,200,0.01,0.8889508928571429
87,5,"[15, 80, 40, 10, 3]",0.0001,300,1e-05,0.8822544642857143
88,5,"[15, 80, 40, 10, 3]",0.0001,300,0.01,0.8928571428571429
89,5,"[15, 80, 40, 10, 3]",0.0001,400,1e-05,0.86328125
90,5,"[15, 80, 40, 10, 3]",0.0001,400,0.01,0.8878348214285714
